PID	sample	total_reads	intratel_reads	gc_bins_for_correction	total_reads_with_tel_gc	tel_content
C103566_7316-2092	control	859706630	57163	48-52	101112618	565.339926
C103566_7316-2092	tumor	1262572086	83598	48-52	154468265	541.198543
C1036890_7316-4215	control	628635978	18887	48-52	73237077	257.888501
C1036890_7316-4215	tumor	1325075062	68129	48-52	154962386	439.648625
C1060383_7316-5928	control	605777478	14266	48-52	72187940	197.623038
C1060383_7316-5928	tumor	1205073838	9808	48-52	143442663	68.375752
C1061121_7316-4337	control	598543458	20378	48-52	73165814	278.518052
C1061121_7316-4337	tumor	1210823958	20131	48-52	146058663	137.828182
C1063212_7316-3636	control	634243364	23244	48-52	76321529	304.553647
C1063212_7316-3636	tumor	1953116320	48596	48-52	251238700	193.425615
C1095069_7316-4432	control	610649336	13335	48-52	71655703	186.098237
C1095069_7316-4432	tumor	1352249904	22390	48-52	156510299	143.057678
C1095315_7316-6310	control	610175304	19964	48-52	74663402	267.386691
C1095315_7316-6310	tumor	1222125068	32327	48-52	144863574	223.154787
C1150665_7316-4293	control	606203332	12289	48-52	70018348	175.511139
C1150665_7316-4293	tumor	1206823982	87877	48-52	145642018	603.376699
C116727_7316-870	control	902769954	56358	48-52	106942534	526.99331
C116727_7316-870	tumor	1804213865	74634	48-52	213722752	349.209428
C1174527_7316-4723	control	610565248	20940	48-52	72926775	287.137337
C1174527_7316-4723	tumor	1428200850	74966	48-52	171328740	437.556478
C1205400_7316-4516	control	632585736	22190	48-52	76025577	291.875457
C1205400_7316-4516	tumor	1204376966	168355	48-52	145751960	1155.078806
C1233075_7316-4917	control	620152102	20825	48-52	76930930	270.697365
C1233075_7316-4917	tumor	1312176028	65257	48-52	156333376	417.422061
C1253616_7316-4942	control	601891578	16733	48-52	72144164	231.938373
C1253616_7316-4942	tumor	1198212692	23760	48-52	143096234	166.042106
C1274034_7316-5087	control	600483074	16313	48-52	70963091	229.880065
C1274034_7316-5087	tumor	1213396798	40371	48-52	145630929	277.214465
C1277355_7316-4993	control	829419646	19210	48-52	97918947	196.182665
C1277355_7316-4993	tumor	1204446820	78270	48-52	146327561	534.895815
C15498_7316-371	control	937447926	28511	48-52	114312823	249.412089
C15498_7316-371	tumor	1379007026	41533	48-52	163545554	253.953709
C20541_7316-37	control	922555472	34039	48-52	114554795	297.141643
C20541_7316-37	tumor	1213409354	20843	48-52	140415979	148.437522
C216603_7316-913	control	720762729	38443	48-52	83868150	458.374246
C216603_7316-913	tumor	2020849401	102742	48-52	246126272	417.436136
C2337123_7316-4466	control	599012416	17192	48-52	70586783	243.558344
C2337123_7316-4466	tumor	1803919356	113191	48-52	302511309	374.171136
C2442165_7316-4842	control	984831930	60291	48-52	123717688	487.327245
C2442165_7316-4842	tumor	1975774884	77243	48-52	250863837	307.90807
C2442165_7316-4844	control	984831930	60291	48-52	123717688	487.327245
C2442165_7316-4844	tumor	2286800000	145510	48-52	273739598	531.563577
C2462583_7316-5267	control	726523888	28713	48-52	87939710	326.507786
C2462583_7316-5267	tumor	1572666806	87675	48-52	186429975	470.283816
C25461_7316-89	control	969020778	37402	48-52	111721437	334.779081
C25461_7316-89	tumor	1699043883	59180	48-52	197646031	299.424176
C2579925_7316-6283	control	706024934	29234	48-52	87136505	335.496587
C2579925_7316-6283	tumor	1307731898	26792	48-52	154257346	173.683787
C2582754_7316-4552	control	740925344	32294	48-52	88921838	363.17288
C2582754_7316-4552	tumor	1360628658	33546	48-52	154127741	217.65063
C267279_7316UP-759	control	607517422	12457	48-52	71559916	174.077901
C267279_7316UP-759	tumor	1439158900	26296	48-52	172241199	152.669629
C271092_7316-2146	control	861749920	41090	48-52	101634223	404.292952
C271092_7316-2146	tumor	1752079933	65144	48-52	211753921	307.640112
C271092_7316-2660	control	861749920	41090	48-52	101634223	404.292952
C271092_7316-2660	tumor	1797299498	62474	48-52	212638672	293.803566
C271092_7316-2751	control	861749920	41090	48-52	101634223	404.292952
C271092_7316-2751	tumor	1441457101	39402	48-52	169652584	232.251104
C271092_7316-895	control	861749920	41090	48-52	101634223	404.292952
C271092_7316-895	tumor	1649702456	49940	48-52	192535147	259.381213
C28290_7316-85	control	876815487	46832	48-52	104485563	448.215032
C28290_7316-85	tumor	1718371404	69652	48-52	198453523	350.973865
C291756_7316-1099	control	886908602	33445	48-52	103677458	322.586999
C291756_7316-1099	tumor	1811164269	181188	48-52	208996844	866.941321
C30258_7316-114	control	974298246	53367	48-52	113462807	470.347962
C30258_7316-114	tumor	1726986062	323085	48-52	203356392	1588.762452
C329763_7316UP-310	control	780603286	46649	48-52	94272427	494.831856
C329763_7316UP-310	tumor	1443403028	20713	48-52	171289360	120.924032
C334437_7316-1106	control	867487270	45485	48-52	101136364	449.739324
C334437_7316-1106	tumor	1855677216	87536	48-52	219169921	399.397872
C337143_7316-1746	control	973253516	60327	48-52	114125546	528.602071
C337143_7316-1746	tumor	2076099258	149466	48-52	260013114	574.840237
C340710_7316-388	control	962004854	46664	48-52	110435815	422.544081
C340710_7316-388	tumor	1720592095	61813	48-52	207148296	298.399751
C34809_7316-161	control	938471971	42510	48-52	111385016	381.64918
C34809_7316-161	tumor	1772881793	70639	48-52	209464302	337.236461
C377610_7316-1774	control	952415828	51852	48-52	113569914	456.564579
C377610_7316-1774	tumor	1624007252	55955	48-52	192852222	290.14444
C377856_7316-1763	control	865796705	41833	48-52	101747214	411.146393
C377856_7316-1763	tumor	1852102582	104155	48-52	222277038	468.581914
C382776_7316UP-1104	control	591381322	12916	48-52	70075284	184.316056
C382776_7316UP-1104	tumor	1522789186	81011	48-52	178100799	454.860396
C384990_7316-2810	control	798146574	43313	48-52	94032111	460.619245
C384990_7316-2810	tumor	1201227052	28936	48-52	141369431	204.683571
C417831_7316-2069	control	796423206	37370	48-52	92227893	405.191952
C417831_7316-2069	tumor	1808368740	42377	48-52	213078543	198.879715
C417831_7316-2737	control	796423206	37370	48-52	92227893	405.191952
C417831_7316-2737	tumor	1181914390	24456	48-52	147915785	165.337324
C457683_7316-1946	control	747537834	22157	48-52	89210363	248.368006
C457683_7316-1946	tumor	1650587019	172713	48-52	200056161	863.322575
C466170_7316-2140	control	888864492	45263	48-52	106400233	425.403204
C466170_7316-2140	tumor	1648761010	383492	48-52	199982662	1917.626239
C47478_7316-194	control	773936881	50761	48-52	89809726	565.206045
C47478_7316-194	tumor	1803859460	110212	48-52	215592122	511.206063
C524349_7316-2152	control	944874110	61002	48-52	112852143	540.547998
C524349_7316-2152	tumor	1650896067	111266	48-52	195112325	570.266384
C53013_7316-3303	control	607223954	21276	48-52	73559286	289.236086
C53013_7316-3303	tumor	1553171106	230509	48-52	189884480	1213.943341
C56826_7316-195	control	790774793	50757	48-52	91389045	555.394796
C56826_7316-195	tumor	1753110276	82541	48-52	222189952	371.488446
C57441_7316-204	control	762421054	36193	48-52	88376725	409.530903
C57441_7316-204	tumor	1862525451	83005	48-52	223828906	370.841289
C597288_7316-1956	control	783555736	44243	48-52	93505727	473.158184
C597288_7316-1956	tumor	1968492713	159637	48-52	233918681	682.446564
C624225_7316-2176	control	976759902	52339	48-52	113886822	459.570292
C624225_7316-2176	tumor	1890591973	76622	48-52	219854428	348.512426
C714384_7316-2594	control	900870242	63792	48-52	107465458	593.604691
C714384_7316-2594	tumor	1531869824	153720	48-52	178012026	863.537163
C714384_7316-3058	control	900870242	63792	48-52	107465458	593.604691
C714384_7316-3058	tumor	1598818486	192320	48-52	188684168	1019.269407
C744765_7316-3000	control	821559248	54262	48-52	97921457	554.137997
C744765_7316-3000	tumor	1403174460	87215	48-52	166549417	523.658393
C789168_7316-2857	control	742937956	30124	48-52	88436985	340.626719
C789168_7316-2857	tumor	1703868726	40936	48-52	211154284	193.867722
