Kids_First_Biospecimen_ID	case_id	sample_id	Total_Number_of_Sites	Number_of_Somatic_Sites	Percent
BS_9DM8H1RX	C47478	7316-194	1286527	12597	0.98
BS_1WY6405N	C827913	7316UP-2058	1286912	4943	0.38
BS_230S192D	C597288	7316-1956	1285622	11773	0.92
BS_KY1CTGJ3	C88806	7316-1769	1284720	11792	0.92
BS_7P378T0E	C845625	7316-1889	1259507	21084	1.67
BS_WJF6ZXWN	C975144	7316-3935	1281088	14346	1.12
BS_S791VC80	C417831	7316-2737	1244617	16105	1.29
BS_E4N5C9JF	C1233075	7316-4917	1247365	66514	5.33
BS_ABZ3BK38	C744765	7316-3000	1277419	21461	1.68
BS_CW9FZE4H	C54858	7316-1844	1248299	35452	2.84
BS_BQWMQM2Y	C271092	7316-895	1283288	13114	1.02
BS_AYPBAHJ6	C56826	7316-195	1280275	15700	1.23
BS_QJ58E1KY	C15498	7316-371	1238346	21595	1.74
BS_M28HG0NT	C103566	7316-2092	1267780	13552	1.07
BS_WPCBK1EG	C377856	7316-1763	1280680	12510	0.98
BS_00TRPEQX	C271092	7316-2660	1284131	13446	1.05
BS_N88EQK8Z	C382776	7316UP-1104	1258054	23511	1.87
BS_HJ95JNFN	C946485	7316-2274	1278485	15082	1.18
BS_B9QP40ER	C89052	7316-409	1285139	10986	0.85
BS_4MGT61BX	C267279	7316UP-759	1263741	23901	1.89
BS_D7PRJEMD	C97416	7316-1723	1271850	20410	1.6
BS_KYVZWYMS	C1095315	7316-6310	1246354	23652	1.9
BS_SKRY0BJ4	C801468	7316-2151	1275920	15675	1.23
BS_W2QCHQ7E	C34809	7316-161	1276686	23393	1.83
BS_Y4CC9PKT	C1036890	7316-4215	1258223	49502	3.93
BS_3HXCGJ4J	C177120	7316-1052	1233247	24258	1.97
BS_GCG2PKQA	C1205400	7316-4516	1242201	23481	1.89
BS_4QH8B0VS	C821517	7316UP-2035	1276084	17907	1.4
BS_70E0T7EE	C42066	7316-255	1228712	34048	2.77
BS_16JT2DCA	C15990	7316-1455	1246704	20022	1.61
BS_NJFK43N3	C944517	7316-3075	1266674	12206	0.96
BS_46TXYD8H	C2582754	7316-4552	1265937	20236	1.6
BS_EPM623G4	C291756	7316-1099	1278956	15085	1.18
BS_1S5V7WWC	C973299	7316-3771	1272334	16197	1.27
BS_QQP17PDQ	C417831	7316-2069	1278576	16475	1.29
BS_CKX0QTD6	C1063212	7316-3636	1277759	7111	0.56
BS_ZN35MFSR	C1095069	7316-4432	1234317	22771	1.84
BS_3S64YXFJ	C1174527	7316-4723	1261090	21213	1.68
BS_G9MQM1KK	C94956	7316-445	1285829	12499	0.97
BS_D368BNRD	C271092	7316-2146	1284862	11832	0.92
BS_Y5687G7D	C119433	7316-620	1255963	22124	1.76
BS_E3B3926M	C384990	7316-2810	1226654	22679	1.85
BS_JZ40GV74	C1253616	7316-4942	1239410	23003	1.86
BS_EP25TTAG	C466170	7316-2140	1268022	12637	1
BS_SK4H5MJQ	C57441	7316-204	1286614	11399	0.89
BS_VQEKRQ7C	C2442165	7316-4844	1287245	4509	0.35
BS_HBSA5CW2	C2337123	7316-4466	721155	9283	1.29
BS_81SVXT4D	C1277355	7316-4993	1242729	110040	8.85
BS_V3X7YF5J	C54735	7316-288	1223672	21133	1.73
BS_SG37096X	C860262	7316UP-1962	1283642	4817	0.38
BS_A0NBZQPH	C799746	7316-2777	1230523	30932	2.51
BS_SMHNXC5G	C119925	7316-624	1262742	21885	1.73
BS_SGHC3FB0	C119679	7316-622	1223792	24635	2.01
BS_KHSYAB3J	C524349	7316-2152	1270840	13616	1.07
BS_80078QDG	C952635	7316-3765	1275665	14607	1.15
