gene_name	hg19	hg38
PDGFRA		PDGFRA
CHIC2		CHIC2
FIP1L1		FIP1L1
KIT		KIT
KDR		KDR
MTAP		MTAP
CDKN2A		CDKN2A
CDKN2B		CDKN2B
EGFR		EGFR
MET		MET
ATRX		ATRX
REST		REST
CCND2		CCND2
FANCA		FANCA
SLCO1B3		SLCO1B3
PTEN		PTEN
MDM2		MDM2
MDM4		MDM4
EXO1		EXO1
LIG1		LIG1
MLH1		MLH1
MLH3		MLH3
MSH2		MSH2
MSH3		MSH3
MSH6		MSH6
PCNA		PCNA
PMS2		PMS2
POLD1		POLD1
POLD2		POLD2
POLD3		POLD3
POLD4		POLD4
RFC1		RFC1
RFC2		RFC2
RFC3		RFC3
RFC4		RFC4
RFC5		RFC5
RPA1		RPA1
RPA2		RPA2
RPA3		RPA3
RPA4		RPA4
SSBP1		SSBP1
