gene	variable	chisq_test_pval	signif
RB1	Sex	0.00596151209833765	TRUE
GAB2	Sex	0.00642357157226937	TRUE
NTRK2	Age_Two_Groups	0.00803403013246884	TRUE
FEN1	Age_Two_Groups	0.00907101537288671	TRUE
NTRK2	Age_Three_Groups	0.0119065982494985	TRUE
FEN1	Age_Three_Groups	0.0132719958317628	TRUE
AURKB	Age_Two_Groups	0.0133265639590927	TRUE
ROS1	Age_Three_Groups	0.0137246495743142	TRUE
IGF1R	Sex	0.0140928095013418	TRUE
AURKB	Age_Three_Groups	0.0163900918607981	TRUE
ATRX	Age_Three_Groups	0.0205042388023491	TRUE
ROS1	Age_Two_Groups	0.0243190277339425	TRUE
ATM	Sex	0.0268269884881162	TRUE
VEGFA	Age_Two_Groups	0.0294971333885928	TRUE
KDR	Sex	0.0314929514770591	TRUE
POLD3	Sex	0.0315311976668187	TRUE
CDKN1C	Age_Two_Groups	0.0409660877427395	TRUE
MUS81	Age_Two_Groups	0.0409660877427395	TRUE
VEGFA	Age_Three_Groups	0.04245799545526	TRUE
EME1	Sex	0.0476808271031518	TRUE
TSC2	Age_Three_Groups	0.0514799528084173	FALSE
MSH2	Age_Two_Groups	0.0549911915180105	FALSE
PPM1D	Age_Two_Groups	0.0577880591755429	FALSE
KIT	Sex	0.0582541289711664	FALSE
CHIC2	Sex	0.0595449260136615	FALSE
FIP1L1	Sex	0.0595449260136615	FALSE
POLD4	Sex	0.0595449260136615	FALSE
PDGFA	Age_Three_Groups	0.0604918204504147	FALSE
PDGFRA	Sex	0.0618404488105434	FALSE
POLE	Sex	0.0618404488105434	FALSE
RAD51C	Age_Two_Groups	0.0618672605249247	FALSE
KDM6B	Age_Three_Groups	0.0625628831562779	FALSE
MBD4	Age_Three_Groups	0.0631073754620091	FALSE
RAD51B	Age_Three_Groups	0.0677562316773212	FALSE
CDKN1C	Age_Three_Groups	0.0686911770647402	FALSE
MUS81	Age_Three_Groups	0.0686911770647402	FALSE
MYCN	Age_Two_Groups	0.0698664907190935	FALSE
MSH2	Age_Three_Groups	0.0708075803189688	FALSE
KDM6B	Age_Two_Groups	0.0714366921728019	FALSE
PPM1D	Age_Three_Groups	0.0790808543160635	FALSE
BRAF	Age_Three_Groups	0.0822434471594016	FALSE
FANCA	Age_Two_Groups	0.0827164610282961	FALSE
H3-3A	Age_Three_Groups	0.0861575186830007	FALSE
PARP4	Sex	0.0879850973771157	FALSE
PDGFA	Age_Two_Groups	0.0898995631767807	FALSE
APOBEC3H	Age_Two_Groups	0.0914432997923517	FALSE
YES1	Age_Two_Groups	0.0914432997923517	FALSE
MYCN	Age_Three_Groups	0.0932873102675982	FALSE
HMGB1	Sex	0.0959629371223878	FALSE
GOLPH3	Age_Three_Groups	0.0970916177079088	FALSE
ID3	Age_Three_Groups	0.0997983399466934	FALSE
CCND1	Age_Three_Groups	0.099918564830546	FALSE
RAD51C	Age_Three_Groups	0.100873173184969	FALSE
