variable1	variable2	corr_pvalue	corr_value	Significant
ALT_status	ATM	0.022567092611216952	0.2666827982924626	TRUE
ALT_status	ATRX	1.1989004208333255e-5	0.48784084075426665	TRUE
ALT_status	H3-3A	0.006235322868027031	0.31728394468609455	TRUE
ALT_status	IDH1	0.00845206517401652	0.30607054531680544	TRUE
ALT_status	TP53	0.0027083246302266905	0.34606906355315864	TRUE
ALT_status	TSC2	0.00845206517401652	0.30607054531680544	TRUE
msi_paired	TP53	0.03837134602831975	0.24292572467637882	TRUE
t_n_telomere_content	ARID1A	0.6624889783050626	0.05194814074813449	FALSE
t_n_telomere_content	ATM	0.27331983224871986	0.12991063383909549	FALSE
t_n_telomere_content	ATRX	0.07165370947657833	0.21208278201314712	FALSE
t_n_telomere_content	BCOR	0.5370339256441983	0.07341961853851862	FALSE
t_n_telomere_content	BRAF	0.394356733930033	-0.10117914033294319	FALSE
t_n_telomere_content	H3-3A	0.6890416935724277	0.047630195851600256	FALSE
t_n_telomere_content	IDH1	0.08154025777147067	0.20523048407358072	FALSE
t_n_telomere_content	MSH6	0.8211502338584529	0.02691882377468903	FALSE
t_n_telomere_content	NF1	0.5017299986258885	0.07987765416328291	FALSE
t_n_telomere_content	PDGFRA	0.6788280196981595	-0.04928355669263271	FALSE
t_n_telomere_content	PIK3CA	0.9590598495194905	0.006113585552032414	FALSE
t_n_telomere_content	TP53	0.17684002778473257	0.15981004347591599	FALSE
t_n_telomere_content	TSC2	0.5607062414746	0.06920646455617242	FALSE
ALT_status	ARID1A	0.9898289972245402	0.0015182217341361305	FALSE
ALT_status	BCOR	0.16364192671393443	0.16475691203408688	FALSE
ALT_status	BRAF	0.8933929967868188	-0.015959392042222874	FALSE
ALT_status	MSH6	0.057703840631345385	0.22317859491801117	FALSE
ALT_status	NF1	0.11700629681816277	0.1850633419076641	FALSE
ALT_status	PDGFRA	0.8610850663785756	0.02083884563859101	FALSE
ALT_status	PIK3CA	0.8610850663785756	0.02083884563859101	FALSE
msi_paired	ARID1A	0.46255476556697606	0.08732665738815537	FALSE
msi_paired	ATM	0.4496053237270201	0.08986343736507985	FALSE
msi_paired	ATRX	0.3273427149320164	0.11625674797651467	FALSE
msi_paired	BCOR	0.45391689015619086	0.08901438896855918	FALSE
msi_paired	BRAF	0.7923405402673651	-0.03134719233699344	FALSE
msi_paired	H3-3A	0.7541421346750306	-0.037286020626840964	FALSE
msi_paired	IDH1	0.5236595770937591	0.07584020710323454	FALSE
msi_paired	MSH6	0.2439432106060724	0.13810385208959544	FALSE
msi_paired	NF1	0.586762967974393	0.06466517405588462	FALSE
msi_paired	PDGFRA	0.7821234186149444	-0.0329276184099447	FALSE
msi_paired	PIK3CA	0.4138918071468286	-0.09707951549660139	FALSE
msi_paired	TSC2	0.15677455792391945	0.16744806014467434	FALSE
