ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
A1BG	A1BG	A1BG	TRUE	NP_570602.2	NP_570602.2
A2M	A2M	A2M	TRUE	NP_000005.2	NP_000005.2
AAAS	AAAS	AAAS	TRUE	NP_056480.1	NP_056480.1
AACS	AACS	AACS	TRUE	NP_001306769.1	NP_076417.2
AADAT	AADAT	AADAT	TRUE	NP_001273611.1	NP_001273611.1
PRXL2C	PRXL2C	AAED1	TRUE	NP_714542.1	NP_714542.1
AAGAB	AAGAB	AAGAB	TRUE	NP_078942.3	NP_078942.3
AAK1	AAK1	AAK1	TRUE	NP_055726.3	NP_055726.3
AAMDC	AAMDC	AAMDC	TRUE	NP_001350493.1	NP_001303889.1
AAMP	AAMP	AAMP	TRUE	NP_001078.2	NP_001078.2
AAR2	AAR2	AAR2	TRUE	NP_001258803.1	NP_001258803.1
AARS1	AARS1	AARS	TRUE	NP_001596.2	NP_001596.2
AARS2	AARS2	AARS2	TRUE	NP_065796.1	NP_065796.1
AARSD1	AARSD1	AARSD1	TRUE	NP_001248363.1	NP_001248363.1
AASDHPPT	AASDHPPT	AASDHPPT	TRUE	NP_056238.2	NP_056238.2
AASS	AASS	AASS	TRUE	NP_005754.2	NP_005754.2
AATF	AATF	AATF	TRUE	NP_036270.1	NP_036270.1
AATK	AATK	AATK	TRUE	NP_001073864.2	NP_001073864.2
ABAT	ABAT	ABAT	TRUE	NP_000654.2	NP_000654.2
ABCA1	ABCA1	ABCA1	TRUE	NP_005493.2	NP_005493.2
ABCA10	ABCA10	ABCA10	TRUE	NA	NP_525021.3
ABCA2	ABCA2	ABCA2	TRUE	NP_001597.2	NP_001597.2
ABCA3	ABCA3	ABCA3	TRUE	NP_001080.2	NP_001080.2
ABCA5	ABCA5	ABCA5	TRUE	NP_061142.2	NP_061142.2
ABCA7	ABCA7	ABCA7	TRUE	NP_061985.2	NP_061985.2
ABCA8	ABCA8	ABCA8	TRUE	NP_001275914.1	NP_001275914.1
ABCB1	ABCB1	ABCB1	TRUE	NP_000918.2	NP_000918.2
ABCB10	ABCB10	ABCB10	TRUE	NP_036221.2	NP_036221.2
ABCB6	ABCB6	ABCB6	TRUE	NP_001336757.1	NP_001336757.1
ABCB7	ABCB7	ABCB7	TRUE	NP_001258625.1	NP_001258625.1
ABCB8	ABCB8	ABCB8	TRUE	NP_001269220.1	NP_001269220.1
ABCB9	ABCB9	ABCB9	TRUE	NA	NP_001229942.1
ABCC1	ABCC1	ABCC1	TRUE	NP_004987.2	NP_004987.2
ABCC10	ABCC10	ABCC10	TRUE	NP_001185863.1	NP_001185863.1
ABCC3	ABCC3	ABCC3	TRUE	NP_003777.2	NP_003777.2
ABCC4	ABCC4	ABCC4	TRUE	NP_001288758.1	NP_005836.2
ABCC8	ABCC8	ABCC8	TRUE	NA	NP_000343.2
ABCD1	ABCD1	ABCD1	TRUE	NP_000024.2	NP_000024.2
ABCD2	ABCD2	ABCD2	TRUE	NP_005155.1	NP_005155.1
ABCD3	ABCD3	ABCD3	TRUE	NP_002849.1	NP_002849.1
ABCD4	ABCD4	ABCD4	TRUE	NP_001340520.1	NP_001340520.1
ABCE1	ABCE1	ABCE1	TRUE	NP_001035809.1	NP_001035809.1
ABCF1	ABCF1	ABCF1	TRUE	NP_001020262.1	NP_001020262.1
ABCF2	ABCF2	ABCF2	TRUE	NP_005683.2	NP_005683.2
ABCF3	ABCF3	ABCF3	TRUE	NP_060828.2	NP_060828.2
ABCG1	ABCG1	ABCG1	TRUE	NP_004906.3	NP_004906.3
ABCG2	ABCG2	ABCG2	TRUE	NP_001244315.1	NP_001244315.1
ABHD10	ABHD10	ABHD10	TRUE	NP_060864.1	NP_060864.1
ABHD11	ABHD11	ABHD11	TRUE	NP_683710.1	NP_683710.1
ABHD12	ABHD12	ABHD12	TRUE	NP_001035937.1	NP_001035937.1;NP_056415.1
ABHD13	ABHD13	ABHD13	TRUE	NP_116248.2	NP_116248.2
ABHD14B	ABHD14B	ABHD14B	TRUE	NP_001139786.1	NP_001139786.1
ABHD16A	ABHD16A	ABHD16A	TRUE	NP_066983.1	NP_066983.1
ABHD17A	ABHD17A	ABHD17A	TRUE	NP_001123583.1	NP_112490.3
ABHD17B	ABHD17B	ABHD17B	TRUE	NP_001020951.1	NP_001020951.1
ABHD17C	ABHD17C	ABHD17C	TRUE	NP_067037.1	NP_067037.1
ABHD2	ABHD2	ABHD2	TRUE	NP_008942.3	NP_008942.3
ABHD3	ABHD3	ABHD3	TRUE	NP_001295185.1	NP_612213.2
ABHD4	ABHD4	ABHD4	TRUE	NP_071343.2	NP_071343.2
ABHD5	ABHD5	ABHD5	TRUE	NP_001342115.1	NP_001342115.1
ABHD6	ABHD6	ABHD6	TRUE	NP_001307055.1	NP_001307055.1
ABI1	ABI1	ABI1	TRUE	NP_001012768.1;NP_001171590.1	NP_001012768.1;NP_001171590.1
ABI2	ABI2	ABI2	TRUE	NP_001269854.1	NP_005750.4
ABI3	ABI3	ABI3	TRUE	NP_057512.1	NP_057512.1
ABI3BP	ABI3BP	ABI3BP	TRUE	NP_001336258.1	NP_001336258.1
ABL1	ABL1	ABL1	TRUE	NP_005148.2	NP_009297.2
