Kids_First_Biospecimen_ID	bed_to_use
BS_MB5K2C19	intersect_strelka_mutect2_vardict_WGS.bed
BS_N88EQK8Z	intersect_strelka_mutect2_vardict_WGS.bed
BS_46TXYD8H	intersect_strelka_mutect2_vardict_WGS.bed
BS_4QH8B0VS	intersect_strelka_mutect2_vardict_WGS.bed
BS_M28HG0NT	intersect_strelka_mutect2_vardict_WGS.bed
BS_RM13B4YN	intersect_strelka_mutect2_vardict_WGS.bed
BS_T7WMJ08W	intersect_strelka_mutect2_vardict_WGS.bed
BS_96S0VQBN	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZN35MFSR	intersect_strelka_mutect2_vardict_WGS.bed
BS_GMVP7K9F	intersect_strelka_mutect2_vardict_WGS.bed
BS_F064HMTP	intersect_strelka_mutect2_vardict_WGS.bed
BS_CKX0QTD6	intersect_strelka_mutect2_vardict_WGS.bed
BS_CW9FZE4H	intersect_strelka_mutect2_vardict_WGS.bed
BS_742CDKAS	intersect_strelka_mutect2_vardict_WGS.bed
BS_7P378T0E	intersect_strelka_mutect2_vardict_WGS.bed
BS_S791VC80	intersect_strelka_mutect2_vardict_WGS.bed
BS_AYPBAHJ6	intersect_strelka_mutect2_vardict_WGS.bed
BS_82KENKT0	intersect_strelka_mutect2_vardict_WGS.bed
BS_VQEKRQ7C	intersect_strelka_mutect2_vardict_WGS.bed
BS_1WY6405N	intersect_strelka_mutect2_vardict_WGS.bed
BS_KXGJ1HMG	intersect_strelka_mutect2_vardict_WGS.bed
BS_7JVKJPB7	intersect_strelka_mutect2_vardict_WGS.bed
BS_SGHC3FB0	intersect_strelka_mutect2_vardict_WGS.bed
BS_P0QJ1QAH	intersect_strelka_mutect2_vardict_WGS.bed
BS_SK4H5MJQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_A0NBZQPH	intersect_strelka_mutect2_vardict_WGS.bed
BS_F7SMM59X	intersect_strelka_mutect2_vardict_WGS.bed
BS_E3B3926M	intersect_strelka_mutect2_vardict_WGS.bed
BS_1S5V7WWC	intersect_strelka_mutect2_vardict_WGS.bed
BS_3NX3RBCX	intersect_strelka_mutect2_vardict_WGS.bed
BS_J4E9SW51	intersect_strelka_mutect2_vardict_WGS.bed
BS_D6XHKZDZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_W2QCHQ7E	intersect_strelka_mutect2_vardict_WGS.bed
BS_NJFK43N3	intersect_strelka_mutect2_vardict_WGS.bed
BS_58X7SKJS	intersect_strelka_mutect2_vardict_WGS.bed
BS_HBSA5CW2	intersect_strelka_mutect2_vardict_WGS.bed
BS_81SVXT4D	intersect_strelka_mutect2_vardict_WGS.bed
BS_79NQJZ09	intersect_strelka_mutect2_vardict_WGS.bed
BS_WJF6ZXWN	intersect_strelka_mutect2_vardict_WGS.bed
BS_9DM8H1RX	intersect_strelka_mutect2_vardict_WGS.bed
BS_AB4QGN7R	intersect_strelka_mutect2_vardict_WGS.bed
BS_EP25TTAG	intersect_strelka_mutect2_vardict_WGS.bed
BS_G9MQM1KK	intersect_strelka_mutect2_vardict_WGS.bed
BS_KAD49R68	intersect_strelka_mutect2_vardict_WGS.bed
BS_WFPXQ57P	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZMM11DCC	intersect_strelka_mutect2_vardict_WGS.bed
BS_WJB33V17	intersect_strelka_mutect2_vardict_WGS.bed
BS_GCG2PKQA	intersect_strelka_mutect2_vardict_WGS.bed
BS_3S64YXFJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_KY1CTGJ3	intersect_strelka_mutect2_vardict_WGS.bed
BS_3HXCGJ4J	intersect_strelka_mutect2_vardict_WGS.bed
BS_SMHNXC5G	intersect_strelka_mutect2_vardict_WGS.bed
BS_230S192D	intersect_strelka_mutect2_vardict_WGS.bed
BS_BQWMQM2Y	intersect_strelka_mutect2_vardict_WGS.bed
BS_WWV74V71	intersect_strelka_mutect2_vardict_WGS.bed
BS_3J4X955P	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y4CC9PKT	intersect_strelka_mutect2_vardict_WGS.bed
BS_85Q5P8GF	intersect_strelka_mutect2_vardict_WGS.bed
BS_85J1DDJS	intersect_strelka_mutect2_vardict_WGS.bed
BS_FAZBX8AS	intersect_strelka_mutect2_vardict_WGS.bed
BS_KHSYAB3J	intersect_strelka_mutect2_vardict_WGS.bed
BS_EPM623G4	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y5687G7D	intersect_strelka_mutect2_vardict_WGS.bed
BS_QJ58E1KY	intersect_strelka_mutect2_vardict_WGS.bed
BS_00TRPEQX	intersect_strelka_mutect2_vardict_WGS.bed
BS_16JT2DCA	intersect_strelka_mutect2_vardict_WGS.bed
BS_ABZ3BK38	intersect_strelka_mutect2_vardict_WGS.bed
BS_QWS88QXE	intersect_strelka_mutect2_vardict_WGS.bed
BS_70E0T7EE	intersect_strelka_mutect2_vardict_WGS.bed
BS_SG37096X	intersect_strelka_mutect2_vardict_WGS.bed
BS_80078QDG	intersect_strelka_mutect2_vardict_WGS.bed
BS_823V5X6Z	intersect_strelka_mutect2_vardict_WGS.bed
BS_B9QP40ER	intersect_strelka_mutect2_vardict_WGS.bed
BS_QQP17PDQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_KSHETTQC	intersect_strelka_mutect2_vardict_WGS.bed
BS_D7PRJEMD	intersect_strelka_mutect2_vardict_WGS.bed
BS_6YSRX0EW	intersect_strelka_mutect2_vardict_WGS.bed
BS_KYVZWYMS	intersect_strelka_mutect2_vardict_WGS.bed
BS_4MGT61BX	intersect_strelka_mutect2_vardict_WGS.bed
BS_ASGBEHAX	intersect_strelka_mutect2_vardict_WGS.bed
BS_SKRY0BJ4	intersect_strelka_mutect2_vardict_WGS.bed
BS_HJ95JNFN	intersect_strelka_mutect2_vardict_WGS.bed
BS_E4N5C9JF	intersect_strelka_mutect2_vardict_WGS.bed
BS_V3X7YF5J	intersect_strelka_mutect2_vardict_WGS.bed
BS_7ZM4PG53	intersect_strelka_mutect2_vardict_WGS.bed
BS_WPCBK1EG	intersect_strelka_mutect2_vardict_WGS.bed
BS_JZ40GV74	intersect_strelka_mutect2_vardict_WGS.bed
BS_D368BNRD	intersect_strelka_mutect2_vardict_WGS.bed
BS_DFTX5Q9V	intersect_strelka_mutect2_vardict_WGS.bed
BS_E42SSQGJ	intersect_strelka_mutect2_vardict_WGS.bed
