Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_MB5K2C19	WGS	120	2923762389	0.041043006932257244
BS_N88EQK8Z	WGS	138	2923762389	0.04719945797209583
BS_46TXYD8H	WGS	87	2923762389	0.0297561800258865
BS_4QH8B0VS	WGS	75	2923762389	0.025651879332660776
BS_M28HG0NT	WGS	29	2923762389	0.009918726675295501
BS_RM13B4YN	WGS	114	2923762389	0.038990856585644385
BS_T7WMJ08W	WGS	12	2923762389	0.004104300693225724
BS_96S0VQBN	WGS	72	2923762389	0.024625804159354347
BS_ZN35MFSR	WGS	68	2923762389	0.023257703928279104
BS_GMVP7K9F	WGS	152	2923762389	0.05198780878085917
BS_F064HMTP	WGS	5	2923762389	0.0017101252888440518
BS_CKX0QTD6	WGS	28	2923762389	0.00957670161752669
BS_742CDKAS	WGS	83	2923762389	0.028388079794811262
BS_S791VC80	WGS	90	2923762389	0.030782255199192934
BS_AYPBAHJ6	WGS	35	2923762389	0.011970877021908364
BS_82KENKT0	WGS	102	2923762389	0.03488655589241866
BS_VQEKRQ7C	WGS	6	2923762389	0.002052150346612862
BS_1WY6405N	WGS	28	2923762389	0.00957670161752669
BS_KXGJ1HMG	WGS	18	2923762389	0.006156451039838587
BS_P0QJ1QAH	WGS	259	2923762389	0.08858448996212188
BS_SK4H5MJQ	WGS	34	2923762389	0.011628851964139552
BS_E3B3926M	WGS	95	2923762389	0.03249238048803699
BS_1S5V7WWC	WGS	29	2923762389	0.009918726675295501
BS_3NX3RBCX	WGS	42	2923762389	0.014365052426290036
BS_J4E9SW51	WGS	12	2923762389	0.004104300693225724
BS_D6XHKZDZ	WGS	5	2923762389	0.0017101252888440518
BS_W2QCHQ7E	WGS	32	2923762389	0.010944801848601932
BS_NJFK43N3	WGS	6	2923762389	0.002052150346612862
BS_58X7SKJS	WGS	27	2923762389	0.00923467655975788
BS_HBSA5CW2	WGS	23	2923762389	0.007866576328682639
BS_81SVXT4D	WGS	506	2923762389	0.17306467923101804
BS_79NQJZ09	WGS	28	2923762389	0.00957670161752669
BS_WJF6ZXWN	WGS	15	2923762389	0.0051303758665321554
BS_9DM8H1RX	WGS	10	2923762389	0.0034202505776881036
BS_AB4QGN7R	WGS	151	2923762389	0.051645783723090366
BS_EP25TTAG	WGS	43	2923762389	0.014707077484058846
BS_G9MQM1KK	WGS	33	2923762389	0.011286826906370742
BS_KAD49R68	WGS	34	2923762389	0.011628851964139552
BS_WFPXQ57P	WGS	3	2923762389	0.001026075173306431
BS_WJB33V17	WGS	11	2923762389	0.003762275635456914
BS_GCG2PKQA	WGS	215	2923762389	0.07353538742029422
BS_3S64YXFJ	WGS	117	2923762389	0.04001693175895081
BS_KY1CTGJ3	WGS	67	2923762389	0.022915678870510294
BS_230S192D	WGS	36	2923762389	0.012312902079677173
BS_BQWMQM2Y	WGS	20	2923762389	0.006840501155376207
BS_Y4CC9PKT	WGS	437	2923762389	0.14946495024497014
BS_85Q5P8GF	WGS	191	2923762389	0.06532678603384277
BS_85J1DDJS	WGS	40	2923762389	0.013681002310752415
BS_FAZBX8AS	WGS	30	2923762389	0.010260751733064311
BS_KHSYAB3J	WGS	48	2923762389	0.016417202772902897
BS_EPM623G4	WGS	50	2923762389	0.01710125288844052
BS_QJ58E1KY	WGS	165	2923762389	0.05643413453185371
BS_00TRPEQX	WGS	71	2923762389	0.024283779101585537
BS_ABZ3BK38	WGS	34	2923762389	0.011628851964139552
BS_QWS88QXE	WGS	6	2923762389	0.002052150346612862
BS_SG37096X	WGS	8	2923762389	0.002736200462150483
BS_80078QDG	WGS	65	2923762389	0.022231628754972674
BS_823V5X6Z	WGS	14	2923762389	0.004788350808763345
BS_B9QP40ER	WGS	17	2923762389	0.005814425982069776
BS_QQP17PDQ	WGS	53	2923762389	0.01812732806174695
BS_KSHETTQC	WGS	5	2923762389	0.0017101252888440518
BS_KYVZWYMS	WGS	90	2923762389	0.030782255199192934
BS_4MGT61BX	WGS	119	2923762389	0.04070098187448843
BS_ASGBEHAX	WGS	118	2923762389	0.040358956816719624
BS_SKRY0BJ4	WGS	23	2923762389	0.007866576328682639
BS_HJ95JNFN	WGS	7	2923762389	0.0023941754043816724
BS_E4N5C9JF	WGS	696	2923762389	0.238049440207092
BS_7ZM4PG53	WGS	198	2923762389	0.06772096143822445
BS_WPCBK1EG	WGS	29	2923762389	0.009918726675295501
BS_JZ40GV74	WGS	95	2923762389	0.03249238048803699
BS_D368BNRD	WGS	31	2923762389	0.01060277679083312
BS_DFTX5Q9V	WGS	72	2923762389	0.024625804159354347
BS_E42SSQGJ	WGS	8	2923762389	0.002736200462150483
