Kids_First_Biospecimen_ID	sample_id	tp53_score	tp53_shuffle
BS_0D5XCM8E	7316UP-1962	0.8401079917456954	0.6019366574965812
BS_6BGES4ZG	7316UP-2058	0.2804837333223858	0.19968142442854953
BS_VWYA7FAH	7316UP-2333	0.1414597691295952	0.4554785885388444
BS_VZJ7403W	7316UP-2403	0.7476748727770334	0.7601139121578959
BS_NPA6CZQF	7316-204	0.6927089793745564	0.40687887270179174
BS_PXCPK5XS	7316-287	0.847074034653059	0.32459382440520373
BS_KBEX4RT2	7316-288	0.07282168288396512	0.2647262619201688
BS_596QRYFP	7316-37	0.5816815872900629	0.687327946154535
BS_RX1YTZ7F	7316-388	0.7664835316609513	0.5333018643464709
BS_XZM79E42	7316-409	0.6898741531008273	0.5600976966342696
BS_ZD5HN296	7316-445	0.551044788499063	0.6798132682508368
BS_T289QKBV	7316-4466	0.0900642129395841	0.5193783125889383
BS_0VXZCRJS	7316-466	0.4321243832089794	0.49803339311945793
BS_YSZRQ95C	7316-4842	0.1760486337503902	0.33737409880229885
BS_2GSAPE1R	7316-4844	0.2401356444099151	0.5627178663790617
BS_SNVM7CZT	7316-619	0.5416755957937938	0.4488284455268888
BS_PS0P3QJ3	7316-620	0.32252995180148325	0.47449204588287475
BS_W1385R8Y	7316-622	0.9711479710419918	0.5155318474818318
BS_3AC3SRWH	7316-624	0.5979023283583028	0.7955083748766218
BS_4PPHAQXF	7316-870	0.36359235342600665	0.3671860494385805
BS_TGS109T3	7316-1052	0.704708169971979	0.44951358599045427
BS_052PZFMK	7316-1099	0.9021576603365652	0.07797616096773836
BS_23QW0BBA	7316-114	0.1346257581270501	0.388578975246578
BS_HE0WJRW6	7316-1455	0.976213583695662	0.3284139839084348
BS_SHJA4MR0	7316-161	0.7856478148564293	0.6356331850294725
BS_8ZS9F31R	7316-1723	0.01849429627163231	0.518717415058129
BS_R5SNFB5B	7316-1746	0.47496075370965973	0.4731900976672511
BS_6WP1FHTE	7316-1763	0.698445868676894	0.3901246082334326
BS_1A6MQ9ZA	7316-1769	0.43051777125564905	0.4221804672096196
BS_JS95PE0J	7316-1774	0.825497381012194	0.6029005805794732
BS_TXZ7KHTQ	7316-1844	0.7819029525662159	0.6207599157842294
BS_M1PVEHCM	7316-1889	0.6733311506092783	0.5948533813717745
BS_8PNA0V6R	7316-1946	0.85670897786554	0.5829989898858345
BS_4QW2S1Q8	7316-195	0.7063792069370067	0.3080651397438473
BS_GW0GKWMS	7316-1956	0.31271513801329986	0.5976860691802905
BS_WAXJY4XQ	7316-2069	0.8119323033503019	0.6176871216383938
BS_M7HCF7DW	7316-2092	0.5779737793913289	0.6163381437374149
BS_A0DYVX9J	7316-2140	0.7944353868668443	0.3157271497311843
BS_H0QWRJE2	7316-2146	0.06740687430919524	0.6362784657511259
BS_49BQS7Z6	7316-2151	0.21994405860005836	0.5010296940491803
BS_4B0BAVTX	7316-2152	0.6361912478620072	0.2071335816442945
BS_0C7VZC0A	7316-2176	0.3005822011421613	0.4868371393654568
BS_84XCR9GG	7316-2241	0.9134789712775384	0.4610462174110147
BS_KP735TJ6	7316-2274	0.5267067873699549	0.5697102550032059
BS_RCCN63K6	7316-231	0.09607954618172372	0.5626087861751002
BS_QB84TBA3	7316-2536	0.9733334408638834	0.5909342174691505
BS_FN07P04C	7316-255	0.01629897100512635	0.5679078165214609
BS_VF5XWFXD	7316-2594	0.7199837475090477	0.466346277119461
BS_S2TA8R29	7316-2599	0.29040717029770885	0.5381940545890733
BS_91VYM11A	7316-2660	0.11263803324004558	0.3510143984383959
BS_P0QF87WC	7316-2737	0.8121340205835144	0.5114359711042462
BS_SD8YBRBR	7316-2777	0.24730487083488256	0.4835786943041565
BS_NNPEC7W1	7316-2810	0.8295648180362166	0.1915930572156706
BS_DS438CXE	7316-2857	0.2678722847464589	0.6795148059572441
BS_D29RPBSZ	7316-3058	0.6399219387293655	0.6505405783499136
BS_52C576HH	7316-3075	0.1729684847688069	0.3737637180721703
BS_WKESC3XN	7316-3303	0.5399024370548741	0.4115795448153952
BS_VMQMGSJY	7316-3521	0.2697202641208502	0.6781890735838166
BS_9XVACXP0	7316-3625	0.3317745762261624	0.6809098220724666
BS_W60RQAKK	7316-371	0.8308865977663242	0.39178556539812015
BS_V3Z3DB4N	7316-3765	0.8100121899564957	0.5664546300324999
BS_AWH9757B	7316-3769	0.4842671424565505	0.7058385435072266
BS_MDBT7S5Z	7316-3771	0.4699543239795379	0.7093502994237338
BS_NR3P3GN2	7316-3935	0.7076318555587067	0.361869124290773
BS_PJ1T8CQR	7316-4215	0.6755209370172877	0.747267334718278
BS_ME6VQGG4	7316-4293	0.8217211031720917	0.6448741262092976
BS_1BJNPHMD	7316-4337	0.0048936857884883	0.6365970781318739
BS_ED8G98XT	7316-4432	0.2678613423020946	0.3202051468161379
BS_9ZJT0CP0	7316-4516	0.6881663619477357	0.6085777933263903
BS_WHBEXD5H	7316-4552	0.01304029614468491	0.3682954711609863
BS_TRPXB3AV	7316-4723	0.9381346139298052	0.5053741972954036
BS_4V42BXBT	7316-4942	0.908666163952646	0.13598162535506184
BS_96BNRT9G	7316-4993	0.8750759264332671	0.6608405107000909
BS_T2F48Z4E	7316-5087	0.9234088752810444	0.45228660685747274
BS_FYP2B298	7316-5267	0.8691753632035303	0.510753818282042
BS_RZBFH1QF	7316-5928	0.7291132219721648	0.432952969241947
BS_91FSYZDH	7316-6310	0.05949611130173055	0.5630856952516583
BS_SB12W1XT	7316-85	0.01601436045774409	0.6691756433953935
BS_XQ5SFW35	7316-89	0.24098416947629925	0.3524274445359726
BS_TJTEF70D	7316-895	0.38240984356598023	0.6911936333987857
BS_1EBQ3T20	7316-913	0.3550810252682533	0.4382843625522063
BS_8E8JKP01	7316UP-1104	0.8655804597675264	0.7050286666232323
BS_0C00AYTE	7316UP-2035	0.5624382691607659	0.604319615735962
