fpr	tpr	threshold	gene	shuffled	auroc
0.0		1.7955083748766218	TP53	True	0
0.0625		0.7955083748766218	TP53	True	0
0.125		0.687327946154535	TP53	True	0
0.1875		0.6798132682508368	TP53	True	0
0.25		0.5627178663790617	TP53	True	0
0.3125		0.5600976966342696	TP53	True	0
0.375		0.5333018643464709	TP53	True	0
0.4375		0.5193783125889383	TP53	True	0
0.5		0.5155318474818318	TP53	True	0
0.5625		0.4980333931194579	TP53	True	0
0.625		0.4744920458828747	TP53	True	0
0.6875		0.4488284455268888	TP53	True	0
0.75		0.4068788727017917	TP53	True	0
0.8125		0.3671860494385805	TP53	True	0
0.875		0.3373740988022988	TP53	True	0
0.9375		0.3245938244052037	TP53	True	0
1.0		0.2647262619201688	TP53	True	0
