gene	variable	kruskal_wallis_pval	chisq_test_pval
ACVR1	Age	0.263371916145196	0.698343371161498
ACVR1	Sex	0.909623468752722	0.999999999999999
AKT1	Age	0.167219826310475	0.433532500895697
AKT1	Sex	0.466044567610932	0.887629180072577
ALK	Age	0.461622381359865	0.629550757625778
ALK	Sex	0.684410036625189	0.87551545453636
APC	Age	0.0691417482542509	0.274741648644638
APC	Sex	0.909623468752722	0.999999999999999
APOBEC3A	Age	0.131256649643178	0.257765195030647
APOBEC3A	Sex	0.0809230025054304	0.167653296281082
APOBEC3B	Age	0.935133758088615	1
APOBEC3B	Sex	0.873988574982362	0.999999999999999
ARID1A	Age	0.615244968268836	0.999999999999999
ARID1A	Sex	0.870336930566452	1
ASXL1	Age	0.862927299365311	0.999999999999999
ASXL1	Sex	0.103933849268787	0.295720202272464
ATM	Age	0.132830439019081	0.283181314788888
ATM	Sex	0.838828020288639	0.999999999999999
ATRX	Age	0.437205559535205	0.632224310799472
ATRX	Sex	0.262104635909746	0.40445109878173
BCOR	Age	0.927747085099291	1
BCOR	Sex	0.517046653953027	0.852803740619618
BRAF	Age	0.674278400097452	0.957765842673023
BRAF	Sex	0.918461300241546	1
CCND1	Age	0.489819351886859	0.663497454925126
CCND1	Sex	0.574991650500839	0.755899073181182
CCND2	Age	0.784866969899976	0.999999999999999
CCND2	Sex	0.534864097474899	0.823206724286546
CDK6	Age	0.128882517916615	0.205070974139011
CDK6	Sex	0.599226833873105	0.784840438583333
CDKN2A	Age	0.45594227403418	0.631635222190318
CDKN2A	Sex	0.263218371382536	0.388310499242214
CDKN2B	Age	0.588536660305908	0.775609887281199
CDKN2B	Sex	0.497268534010583	0.666706516845818
CHD2	Age	0.927747085099291	1
CHD2	Sex	0.779648608380545	0.999999999999999
CHD4	Age	0.432767580667959	0.999999999999998
CHD4	Sex	0.355721622624114	0.999999999999997
CHD6	Age	0.0691417482542509	0.274741648644638
CHD6	Sex	0.909623468752722	0.999999999999999
CHD7	Age	0.893281384625037	1
CHD7	Sex	0.678942023264854	0.943104391380628
CHRD	Age	0.514981731340758	0.711989318135964
CHRD	Sex	0.691746847138857	0.904561513018205
CIC	Age	0.119218439430154	0.298987304889605
CIC	Sex	0.386971941110706	0.723515364218778
CR2	Age	0.802196404184576	0.999999999999999
CR2	Sex	0.838828020288639	0.999999999999999
CREBBP	Age	0.802196404184576	0.999999999999999
CREBBP	Sex	0.515138809379508	0.821567640761079
CTNNB1	Age	0.0691417482542509	0.274741648644638
CTNNB1	Sex	0.909623468752722	0.999999999999999
DDR2	Age	0.636225534240917	0.831095218531223
DDR2	Sex	0.0432587910465427	0.0749581464987676
DNMT3B	Age	0.72670063050026	0.999999999999999
DNMT3B	Sex	0.187920263661901	0.544213401996699
DUX4	Age	0.72670063050026	0.999999999999999
DUX4	Sex	0.187920263661901	0.544213401996699
EGFR	Age	0.14807723705626	0.230720845492299
EGFR	Sex	0.524170599985583	0.697098446604372
ETV6	Age	0.313383103556638	0.449656301670531
ETV6	Sex	0.406242495486662	0.559474916013205
EZH2	Age	0.732145061103532	0.947098755695227
EZH2	Sex	0.515780775216498	0.701298507801064
FANCA	Age	0.132830439019081	0.283181314788888
FANCA	Sex	0.838828020288639	0.999999999999999
FBXW7	Age	0.202396015972959	0.80481981500783
FBXW7	Sex	0.355721622624114	0.999999999999997
FGFR1	Age	0.802196404184576	0.999999999999999
FGFR1	Sex	0.838828020288639	0.999999999999999
FOSB	Age	0.131256649643178	0.257765195030647
FOSB	Sex	0.607221881925554	0.889781351906831
GFI1	Age	0.418057549365418	0.669596086791647
GFI1	Sex	0.811035952589107	0.999999999999999
GLI2	Age	0.0224803803661625	0.0412756120874798
GLI2	Sex	0.550023778772442	0.726740368880505
H3F3A	Age	0.893782216963769	1
H3F3A	Sex	0.889637293739582	0.999999999999999
IDH1	Age	0.445145447707236	0.623430752931521
IDH1	Sex	0.911488866374604	1
IGF1R	Age	0.143368447698579	0.236858361135828
