comparison	variable	value	chisq_pval
LRP1B vs NTRK3	Age	(15,26]	1
LRP1B vs NTRK3	Age	(26,40]	NA
LRP1B vs NTRK3	Age	[0,15]	0.00764
LRP1B vs NTRK3	Age	NA	NA
LRP1B vs NTRK3	Sex	Male	1
LRP1B vs NTRK3	Sex	Female	0.00819
LRP1B vs NTRK3	Age + Sex	(15,26]_Male	NA
LRP1B vs NTRK3	Age + Sex	(26,40]_Female	NA
LRP1B vs NTRK3	Age + Sex	[0,15]_Female	0.01041
LRP1B vs NTRK3	Age + Sex	[0,15]_Male	1
LRP1B vs NTRK3	Age + Sex	(15,26]_Female	1
LRP1B vs NTRK3	Age + Sex	(26,40]_Male	NA
LRP1B vs NTRK3	Age + Sex	NA_Female	NA
