variable1	variable2	corr_pvalue	corr_value	Significant
ALT_status	TP53	0.005502596997155827	0.32618216277144513	TRUE
ALT_status	ATRX	8.940227434251422e-6	0.5001670738107524	TRUE
ALT_status	TSC2	0.007832632567957243	0.31316670693302745	TRUE
ALT_status	IDH1	0.021305165654110128	0.27289530223782504	TRUE
ALT_status	ATM	0.021305165654110128	0.27289530223782504	TRUE
ALT_status	PIK3C2G	0.028359910183456988	0.2602923372678038	TRUE
msi_paired	TP53	0.038419898535022236	0.24286666288163175	TRUE
t_n_telomere_content	TP53	0.19091942359464445	0.15703729544691686	FALSE
t_n_telomere_content	NF1	0.43008338454943096	0.09511864148704499	FALSE
t_n_telomere_content	ATRX	0.0762530719202005	0.2117645167965416	FALSE
t_n_telomere_content	BRAF	0.3964699743049841	-0.10218222680559377	FALSE
t_n_telomere_content	PDGFRA	0.6781301219867053	-0.05011186896999639	FALSE
t_n_telomere_content	PIK3CA	0.9644528513505644	0.005384609736657295	FALSE
t_n_telomere_content	TSC2	0.5697863212511842	0.06859062496268514	FALSE
t_n_telomere_content	IDH1	0.07346206181579554	0.21375943455784205	FALSE
t_n_telomere_content	ATM	0.2820165229074289	0.12943348567454357	FALSE
t_n_telomere_content	BCOR	0.5459841943581061	0.0728543656315175	FALSE
t_n_telomere_content	PIK3C2G	0.7888043532770865	0.032355543199748454	FALSE
t_n_telomere_content	ARID1A	0.670318311712566	0.05140157889935857	FALSE
t_n_telomere_content	CDKN2A	0.5147776108117117	-0.07858410228981473	FALSE
t_n_telomere_content	CIC	0.6000732917613283	-0.0632832354309887	FALSE
t_n_telomere_content	EGFR	0.4035149887182765	-0.10067374420397744	FALSE
t_n_telomere_content	MSH6	0.8274026840190467	0.026338895251938728	FALSE
ALT_status	NF1	0.06208905818717994	0.2225775067952074	FALSE
ALT_status	BRAF	0.9069558471208041	-0.014120958395688363	FALSE
ALT_status	PDGFRA	0.848051916335618	0.02314710442548464	FALSE
ALT_status	PIK3CA	0.848051916335618	0.02314710442548464	FALSE
ALT_status	BCOR	0.15815889005258857	0.1692826473774744	FALSE
ALT_status	ARID1A	0.9790491285478342	0.003172924822292051	FALSE
ALT_status	CDKN2A	0.42363394263184406	-0.09644856443408242	FALSE
ALT_status	CIC	0.5497290731112701	-0.07217772948980569	FALSE
ALT_status	EGFR	0.15763583987071839	-0.1694926847325234	FALSE
ALT_status	MSH6	0.05533782590561374	0.2284505872050277	FALSE
msi_paired	NF1	0.5870117603692354	0.06462226588574634	FALSE
msi_paired	ATRX	0.32749658826996053	0.11622002428932872	FALSE
msi_paired	BRAF	0.7921590349973965	-0.03137522037690221	FALSE
msi_paired	PDGFRA	0.7819549204595991	-0.032953729316154264	FALSE
msi_paired	PIK3CA	0.4137581540650359	-0.09710717579763588	FALSE
msi_paired	TSC2	0.15682798717241436	0.1674267887062513	FALSE
msi_paired	IDH1	0.5237885237405586	0.07581672315450592	FALSE
msi_paired	ATM	0.4497121542201328	0.08984234558258856	FALSE
msi_paired	BCOR	0.4540243907712497	0.08899327667987476	FALSE
msi_paired	PIK3C2G	0.2950706665036672	0.12421798928611978	FALSE
msi_paired	ARID1A	0.4626523594884402	0.08730768786856172	FALSE
msi_paired	CDKN2A	0.7648146422741132	-0.0356181907008233	FALSE
msi_paired	CIC	0.546390577767467	-0.0717438108222904	FALSE
msi_paired	EGFR	0.6862634957237547	-0.04807901878358559	FALSE
msi_paired	MSH6	0.244004386310014	0.13808610893938864	FALSE
t_n_telomere_content	TDG	NA	NA	NA
t_n_telomere_content	RAD54B	NA	NA	NA
t_n_telomere_content	MSH3	NA	NA	NA
ALT_status	TDG	NA	NA	NA
ALT_status	RAD54B	NA	NA	NA
ALT_status	MSH3	NA	NA	NA
msi_paired	TDG	NA	NA	NA
msi_paired	RAD54B	NA	NA	NA
msi_paired	MSH3	NA	NA	NA
